都道府県,地域,コード
北海道,稚内,1100
北海道,旭川,1200
北海道,留萌,1300
北海道,札幌,1400
北海道,岩見沢,1500
北海道,倶知安,1600
北海道,網走,1710
北海道,北見,1720
北海道,紋別,1730
北海道,根室,1800
北海道,釧路,1900
北海道,帯広,2000
北海道,室蘭,2100
北海道,浦河,2200
北海道,函館,2300
北海道,江差,2400
青森,青森,3110
青森,むつ,3120
青森,八戸,3130
岩手,盛岡,3310
岩手,宮古,3320
岩手,大船渡,3330
宮城,仙台,3410
宮城,白石,3420
秋田,秋田,3210
秋田,横手,3220
山形,山形,3510
山形,米沢,3520
山形,酒田,3530
山形,新庄,3540
福島,福島,3610
福島,小名浜,3620
福島,若松,3630
茨城,水戸,4010
茨城,土浦,4020
栃木,宇都宮,4110
栃木,大田原,4120
群馬,前橋,4210
群馬,みなかみ,4220
埼玉,埼玉,4310
埼玉,熊谷,4320
埼玉,秩父,4330
千葉,千葉,4510
千葉,銚子,4520
千葉,館山,4530
東京,東京,4410
東京,大島,4420
東京,八丈島,4430
東京,父島,4440
神奈川,横浜,4610
神奈川,小田原,4620
新潟,新潟,5410
新潟,長岡,5420
新潟,高田,5430
新潟,相川,5440
富山,富山,5510
富山,伏木,5520
石川,金沢,5610
石川,輪島,5620
福井,福井,5710
福井,敦賀,5720
山梨,甲府,4910
山梨,河口湖,4920
長野,長野,4810
長野,松本,4820
長野,飯田,4830
岐阜,岐阜,5210
岐阜,高山,5220
静岡,静岡,5010
静岡,網代,5020
静岡,三島,5030
静岡,浜松,5040
愛知,名古屋,5110
愛知,豊橋,5120
三重,津,5310
三重,尾鷲,5320
滋賀,大津,6010
滋賀,彦根,6020
京都,京都,6110
京都,舞鶴,6120
大阪,大阪,6200
兵庫,神戸,6310
兵庫,豊岡,6320
奈良,奈良,6410
奈良,風屋,6420
和歌山,和歌山,6510
和歌山,潮岬,6520
鳥取,鳥取,6910
鳥取,米子,6920
島根,松江,6810
島根,浜田,6820
島根,西郷,6830
岡山,岡山,6610
岡山,津山,6620
広島,広島,6710
広島,庄原,6720
山口,下関,8110
山口,山口,8120
山口,柳井,8130
山口,萩,8140
徳島,徳島,7110
徳島,日和佐,7120
香川,高松,7200
愛媛,松山,7310
愛媛,新居浜,7320
愛媛,宇和島,7330
高知,高知,7410
高知,室戸岬,7420
高知,清水,7430
福岡,福岡,8210
福岡,八幡,8220
福岡,飯塚,8230
福岡,久留米,8240
佐賀,佐賀,8510
佐賀,伊万里,8520
長崎,長崎,8410
長崎,佐世保,8420
長崎,厳原,8430
長崎,福江,8440
熊本,熊本,8610
熊本,阿蘇乙,8620
熊本,牛深,8630
熊本,人吉,8640
大分,大分,8310
大分,中津,8320
大分,日田,8330
大分,佐伯,8340
宮崎,宮崎,8710
宮崎,延岡,8720
宮崎,都城,8730
宮崎,高千穂,8740
鹿児島,鹿児島,8810
鹿児島,鹿屋,8820
鹿児島,種子島,8830
鹿児島,名瀬,8840
沖縄,那覇,9110
沖縄,名護,9120
沖縄,久米島,9130
沖縄,南大東,9200
沖縄,宮古島,9300
沖縄,石垣島,9410
沖縄,与那国,9420
