地域,外国人登録人口(2011)
北海道,22029
青森県,3987
岩手県,5234
宮城県,13973
秋田県,3794
山形県,6246
福島県,9623
茨城県,51598
栃木県,31101
群馬県,41963
埼玉県,119727
千葉県,110235
東京都,405692
神奈川県,166154
新潟県,13374
富山県,13729
石川県,10783
福井県,12176
山梨県,15101
長野県,33717
岐阜県,47375
静岡県,82184
愛知県,200696
三重県,45312
滋賀県,25436
京都府,52563
大阪府,206324
兵庫県,98515
奈良県,11194
和歌山県,5945
鳥取県,4041
島根県,5458
岡山県,21488
広島県,39261
山口県,13825
徳島県,4957
香川県,8315
愛媛県,8857
高知県,3429
福岡県,52555
佐賀県,4259
長崎県,7350
熊本県,8944
大分県,10118
宮崎県,4311
鹿児島県,6284
沖縄県,9276
