都道府県名,市区町村名,大字・丁目名,小字・通称名,緯度,経度,情報
兵庫県,神戸市東灘区,御影山手五丁目,,34.7268,135.24295,0
兵庫県,神戸市東灘区,御影山手六丁目,,34.730076,135.243314,0
兵庫県,神戸市東灘区,御影山手六丁目,,34.730521,135.24411,0
兵庫県,神戸市東灘区,御影山手五丁目,,34.726177,135.242945,0
兵庫県,神戸市東灘区,御影山手六丁目,,34.730844,135.244077,0
兵庫県,神戸市東灘区,御影山手六丁目,,34.729784,135.24335,0
兵庫県,神戸市東灘区,御影山手六丁目,,34.731092,135.243978,0
兵庫県,神戸市東灘区,御影山手六丁目,,34.731343,135.243879,0
兵庫県,神戸市東灘区,御影山手六丁目,,34.72948,135.24338,0
兵庫県,神戸市東灘区,御影山手五丁目,,34.729151,135.243418,0
兵庫県,神戸市東灘区,御影山手五丁目,,34.728817,135.243464,0
兵庫県,神戸市東灘区,御影山手五丁目,,34.728166,135.243541,0
兵庫県,神戸市東灘区,御影山手五丁目,,34.728491,135.243503,0
兵庫県,神戸市東灘区,御影山手五丁目,,34.725912,135.243174,0
兵庫県,神戸市東灘区,御影山手五丁目,,34.727848,135.243627,0
兵庫県,神戸市東灘区,御影山手五丁目,,34.726447,135.243315,0
兵庫県,神戸市東灘区,御影山手五丁目,,34.727527,135.243714,0
兵庫県,神戸市東灘区,御影山手五丁目,,34.725636,135.24338,0
兵庫県,神戸市東灘区,御影山手五丁目,,34.724036,135.243329,0
兵庫県,神戸市東灘区,御影山手五丁目,,34.727215,135.24384,0
兵庫県,神戸市東灘区,御影山手五丁目,,34.724441,135.24372,0
兵庫県,神戸市東灘区,御影山手五丁目,,34.725308,135.2435,0
兵庫県,神戸市東灘区,御影山手五丁目,,34.724876,135.243619,0
兵庫県,神戸市東灘区,御影山手五丁目,,34.726158,135.243589,0
兵庫県,神戸市東灘区,御影山手二丁目,,34.724012,135.243893,0
兵庫県,神戸市東灘区,御影塚町四丁目,,34.711825,135.243942,0
兵庫県,神戸市東灘区,御影山手五丁目,,34.726885,135.243919,0
兵庫県,神戸市東灘区,御影山手五丁目,,34.726566,135.244039,0
兵庫県,神戸市東灘区,御影山手五丁目,,34.725868,135.243921,0
兵庫県,神戸市東灘区,御影山手二丁目,,34.723603,135.243986,0
兵庫県,神戸市東灘区,御影山手五丁目,,34.726278,135.244252,0
兵庫県,神戸市東灘区,御影塚町四丁目,,34.710741,135.244357,0
兵庫県,神戸市東灘区,御影山手五丁目,,34.725131,135.244279,0
兵庫県,神戸市東灘区,御影塚町四丁目,,34.7106,135.245395,0
兵庫県,神戸市東灘区,御影山手六丁目,,34.730248,135.244792,0
兵庫県,神戸市東灘区,御影山手六丁目,,34.729956,135.244847,0
兵庫県,神戸市東灘区,御影山手二丁目,,34.723238,135.244311,0
兵庫県,神戸市東灘区,御影山手六丁目,,34.729659,135.244901,0
兵庫県,神戸市東灘区,御影山手四丁目,,34.729335,135.244966,0
兵庫県,神戸市東灘区,御影山手五丁目,,34.725996,135.244563,0
兵庫県,神戸市東灘区,御影山手五丁目,,34.724849,135.244785,0
兵庫県,神戸市東灘区,御影山手二丁目,,34.723803,135.244419,0
兵庫県,神戸市東灘区,御影山手四丁目,,34.728025,135.244654,0
兵庫県,神戸市東灘区,御影山手四丁目,,34.727734,135.245039,0
兵庫県,神戸市東灘区,御影山手二丁目,,34.723316,135.244691,0
兵庫県,神戸市東灘区,御影山手二丁目,,34.724467,135.245061,0
兵庫県,神戸市東灘区,御影塚町三丁目,,34.709581,135.244655,0
兵庫県,神戸市東灘区,御影山手五丁目,,34.725681,135.244753,0
